,BOT_X,BOT_Y,CREW_X,CREW_Y,Optimal_Direction
0,0,0,0,0,STAY
1,0,0,0,1,STAY
2,0,0,0,2,SE
3,0,0,0,3,SE
4,0,0,0,4,STAY
5,0,0,0,5,SE
6,0,0,0,6,SE
7,0,0,0,7,SE
8,0,0,0,8,SE
9,0,0,0,9,SE
10,0,0,0,10,SE
11,0,0,1,0,SE
12,0,0,1,1,EAST
13,0,0,1,2,SE
14,0,0,1,3,SE
15,0,0,1,4,SE
16,0,0,1,5,SE
17,0,0,1,6,SE
18,0,0,1,7,SE
19,0,0,1,8,SE
20,0,0,1,9,SE
21,0,0,1,10,SE
22,0,0,2,0,EAST
23,0,0,2,1,SE
24,0,0,2,2,SE
25,0,0,2,3,SE
26,0,0,2,4,STAY
27,0,0,2,5,SE
28,0,0,2,6,SE
29,0,0,2,7,SE
30,0,0,2,8,SE
31,0,0,2,9,SE
32,0,0,2,10,SE
33,0,0,3,0,SE
34,0,0,3,1,SE
35,0,0,3,2,SE
36,0,0,3,3,SE
37,0,0,3,4,SE
38,0,0,3,5,SE
39,0,0,3,6,SE
40,0,0,3,7,SE
41,0,0,3,8,SE
42,0,0,3,9,SE
43,0,0,3,10,SE
44,0,0,4,0,EAST
45,0,0,4,1,SE
46,0,0,4,2,SE
47,0,0,4,3,SE
48,0,0,4,4,STAY
49,0,0,4,5,SE
50,0,0,4,6,STAY
51,0,0,4,7,SE
52,0,0,4,8,SE
53,0,0,4,9,SE
54,0,0,4,10,SE
55,0,0,5,0,EAST
56,0,0,5,1,STAY
57,0,0,5,2,SE
58,0,0,5,3,EAST
59,0,0,5,4,SE
60,0,0,5,5,STAY
61,0,0,5,6,SE
62,0,0,5,7,SE
63,0,0,5,8,SE
64,0,0,5,9,SE
65,0,0,5,10,SE
66,0,0,6,0,STAY
67,0,0,6,1,EAST
68,0,0,6,2,STAY
69,0,0,6,3,STAY
70,0,0,6,4,STAY
71,0,0,6,5,SE
72,0,0,6,6,STAY
73,0,0,6,7,SE
74,0,0,6,8,SE
75,0,0,6,9,SE
76,0,0,6,10,SE
77,0,0,7,0,EAST
78,0,0,7,1,EAST
79,0,0,7,2,EAST
80,0,0,7,3,EAST
81,0,0,7,4,STAY
82,0,0,7,5,SE
83,0,0,7,6,SE
84,0,0,7,7,SE
85,0,0,7,8,SE
86,0,0,7,9,SE
87,0,0,7,10,SE
88,0,0,8,0,EAST
89,0,0,8,1,EAST
90,0,0,8,2,EAST
91,0,0,8,3,EAST
92,0,0,8,4,EAST
93,0,0,8,5,SE
94,0,0,8,6,SE
95,0,0,8,7,SE
96,0,0,8,8,SE
97,0,0,8,9,SE
98,0,0,8,10,SE
99,0,0,9,0,EAST
100,0,0,9,1,EAST
101,0,0,9,2,EAST
102,0,0,9,3,EAST
103,0,0,9,4,EAST
104,0,0,9,5,EAST
105,0,0,9,6,SE
106,0,0,9,7,SE
107,0,0,9,8,SE
108,0,0,9,9,SE
109,0,0,9,10,SE
110,0,0,10,0,EAST
111,0,0,10,1,EAST
112,0,0,10,2,EAST
113,0,0,10,3,STAY
114,0,0,10,4,STAY
115,0,0,10,5,EAST
116,0,0,10,6,EAST
117,0,0,10,7,SE
118,0,0,10,8,SE
119,0,0,10,9,SE
120,0,0,10,10,SE
121,0,1,0,0,STAY
122,0,1,0,1,STAY
123,0,1,0,2,STAY
124,0,1,0,3,STAY
125,0,1,0,4,STAY
126,0,1,0,5,STAY
127,0,1,0,6,STAY
128,0,1,0,7,STAY
129,0,1,0,8,STAY
130,0,1,0,9,STAY
131,0,1,0,10,STAY
132,0,1,1,0,STAY
133,0,1,1,1,STAY
134,0,1,1,2,STAY
135,0,1,1,3,STAY
136,0,1,1,4,STAY
137,0,1,1,5,STAY
138,0,1,1,6,STAY
139,0,1,1,7,STAY
140,0,1,1,8,STAY
141,0,1,1,9,STAY
142,0,1,1,10,STAY
143,0,1,2,0,STAY
144,0,1,2,1,STAY
145,0,1,2,2,STAY
146,0,1,2,3,STAY
147,0,1,2,4,STAY
148,0,1,2,5,STAY
149,0,1,2,6,STAY
150,0,1,2,7,STAY
151,0,1,2,8,STAY
152,0,1,2,9,STAY
153,0,1,2,10,STAY
154,0,1,3,0,STAY
155,0,1,3,1,STAY
156,0,1,3,2,STAY
157,0,1,3,3,STAY
158,0,1,3,4,STAY
159,0,1,3,5,STAY
160,0,1,3,6,STAY
161,0,1,3,7,STAY
162,0,1,3,8,STAY
163,0,1,3,9,STAY
164,0,1,3,10,STAY
165,0,1,4,0,STAY
166,0,1,4,1,STAY
167,0,1,4,2,STAY
168,0,1,4,3,STAY
169,0,1,4,4,STAY
170,0,1,4,5,STAY
171,0,1,4,6,STAY
172,0,1,4,7,STAY
173,0,1,4,8,STAY
174,0,1,4,9,STAY
175,0,1,4,10,STAY
176,0,1,5,0,STAY
177,0,1,5,1,STAY
178,0,1,5,2,STAY
179,0,1,5,3,STAY
180,0,1,5,4,STAY
181,0,1,5,5,STAY
182,0,1,5,6,STAY
183,0,1,5,7,STAY
184,0,1,5,8,STAY
185,0,1,5,9,STAY
186,0,1,5,10,STAY
187,0,1,6,0,STAY
188,0,1,6,1,STAY
189,0,1,6,2,STAY
190,0,1,6,3,STAY
191,0,1,6,4,STAY
192,0,1,6,5,STAY
193,0,1,6,6,STAY
194,0,1,6,7,STAY
195,0,1,6,8,STAY
196,0,1,6,9,STAY
197,0,1,6,10,STAY
198,0,1,7,0,STAY
199,0,1,7,1,STAY
200,0,1,7,2,STAY
201,0,1,7,3,STAY
202,0,1,7,4,STAY
203,0,1,7,5,STAY
204,0,1,7,6,STAY
205,0,1,7,7,STAY
206,0,1,7,8,STAY
207,0,1,7,9,STAY
208,0,1,7,10,STAY
209,0,1,8,0,STAY
210,0,1,8,1,STAY
211,0,1,8,2,STAY
212,0,1,8,3,STAY
213,0,1,8,4,STAY
214,0,1,8,5,STAY
215,0,1,8,6,STAY
216,0,1,8,7,STAY
217,0,1,8,8,STAY
218,0,1,8,9,STAY
219,0,1,8,10,STAY
220,0,1,9,0,STAY
221,0,1,9,1,STAY
222,0,1,9,2,STAY
223,0,1,9,3,STAY
224,0,1,9,4,STAY
225,0,1,9,5,STAY
226,0,1,9,6,STAY
227,0,1,9,7,STAY
228,0,1,9,8,STAY
229,0,1,9,9,STAY
230,0,1,9,10,STAY
231,0,1,10,0,STAY
232,0,1,10,1,STAY
233,0,1,10,2,STAY
234,0,1,10,3,STAY
235,0,1,10,4,STAY
236,0,1,10,5,STAY
237,0,1,10,6,STAY
238,0,1,10,7,STAY
239,0,1,10,8,STAY
240,0,1,10,9,STAY
241,0,1,10,10,STAY
242,0,2,0,0,NE
243,0,2,0,1,STAY
244,0,2,0,2,STAY
245,0,2,0,3,SE
246,0,2,0,4,STAY
247,0,2,0,5,SOUTH
248,0,2,0,6,SOUTH
249,0,2,0,7,SOUTH
250,0,2,0,8,SOUTH
251,0,2,0,9,SOUTH
252,0,2,0,10,SOUTH
253,0,2,1,0,NE
254,0,2,1,1,EAST
255,0,2,1,2,SE
256,0,2,1,3,EAST
257,0,2,1,4,SE
258,0,2,1,5,SOUTH
259,0,2,1,6,SOUTH
260,0,2,1,7,SOUTH
261,0,2,1,8,SOUTH
262,0,2,1,9,SOUTH
263,0,2,1,10,SOUTH
264,0,2,2,0,NE
265,0,2,2,1,NE
266,0,2,2,2,EAST
267,0,2,2,3,SE
268,0,2,2,4,STAY
269,0,2,2,5,SOUTH
270,0,2,2,6,SOUTH
271,0,2,2,7,SOUTH
272,0,2,2,8,SOUTH
273,0,2,2,9,SOUTH
274,0,2,2,10,SOUTH
275,0,2,3,0,EAST
276,0,2,3,1,NE
277,0,2,3,2,EAST
278,0,2,3,3,EAST
279,0,2,3,4,SE
280,0,2,3,5,SOUTH
281,0,2,3,6,SOUTH
282,0,2,3,7,SOUTH
283,0,2,3,8,SOUTH
284,0,2,3,9,SOUTH
285,0,2,3,10,SOUTH
286,0,2,4,0,NE
287,0,2,4,1,EAST
288,0,2,4,2,EAST
289,0,2,4,3,EAST
290,0,2,4,4,STAY
291,0,2,4,5,SOUTH
292,0,2,4,6,STAY
293,0,2,4,7,SOUTH
294,0,2,4,8,SOUTH
295,0,2,4,9,SOUTH
296,0,2,4,10,SOUTH
297,0,2,5,0,EAST
298,0,2,5,1,STAY
299,0,2,5,2,EAST
300,0,2,5,3,EAST
301,0,2,5,4,EAST
302,0,2,5,5,STAY
303,0,2,5,6,SOUTH
304,0,2,5,7,SOUTH
305,0,2,5,8,SOUTH
306,0,2,5,9,SOUTH
307,0,2,5,10,SOUTH
308,0,2,6,0,STAY
309,0,2,6,1,EAST
310,0,2,6,2,STAY
311,0,2,6,3,STAY
312,0,2,6,4,STAY
313,0,2,6,5,EAST
314,0,2,6,6,STAY
315,0,2,6,7,SE
316,0,2,6,8,SE
317,0,2,6,9,SE
318,0,2,6,10,SOUTH
319,0,2,7,0,EAST
320,0,2,7,1,EAST
321,0,2,7,2,EAST
322,0,2,7,3,EAST
323,0,2,7,4,STAY
324,0,2,7,5,EAST
325,0,2,7,6,EAST
326,0,2,7,7,SE
327,0,2,7,8,SE
328,0,2,7,9,SE
329,0,2,7,10,SE
330,0,2,8,0,EAST
331,0,2,8,1,EAST
332,0,2,8,2,EAST
333,0,2,8,3,EAST
334,0,2,8,4,EAST
335,0,2,8,5,EAST
336,0,2,8,6,EAST
337,0,2,8,7,EAST
338,0,2,8,8,EAST
339,0,2,8,9,EAST
340,0,2,8,10,SE
341,0,2,9,0,EAST
342,0,2,9,1,EAST
343,0,2,9,2,EAST
344,0,2,9,3,EAST
345,0,2,9,4,EAST
346,0,2,9,5,EAST
347,0,2,9,6,EAST
348,0,2,9,7,EAST
349,0,2,9,8,EAST
350,0,2,9,9,EAST
351,0,2,9,10,EAST
352,0,2,10,0,EAST
353,0,2,10,1,EAST
354,0,2,10,2,EAST
355,0,2,10,3,STAY
356,0,2,10,4,STAY
357,0,2,10,5,EAST
358,0,2,10,6,EAST
359,0,2,10,7,EAST
360,0,2,10,8,EAST
361,0,2,10,9,EAST
362,0,2,10,10,EAST
363,0,3,0,0,NORTH
364,0,3,0,1,STAY
365,0,3,0,2,NE
366,0,3,0,3,STAY
367,0,3,0,4,STAY
368,0,3,0,5,SE
369,0,3,0,6,SE
370,0,3,0,7,SE
371,0,3,0,8,SE
372,0,3,0,9,SE
373,0,3,0,10,SE
374,0,3,1,0,NE
375,0,3,1,1,NE
376,0,3,1,2,EAST
377,0,3,1,3,NE
378,0,3,1,4,EAST
379,0,3,1,5,SE
380,0,3,1,6,SE
381,0,3,1,7,SE
382,0,3,1,8,SE
383,0,3,1,9,SE
384,0,3,1,10,SE
385,0,3,2,0,NE
